Sample,Date,Location,Depth,Zone,UpwellingS,UpwellingN,UpwellingAvg,PreUpwellingS,PreUpwellingN,PreUpwellingAvg,CR,OxygenConc,Temp
M1401,6/18/2014,100m,3,Thermo,109,193,151,257.6666667,261.3333333,259.5,NA,358.4375,14.7
M1402,6/18/2014,100m,4,Thermo,109,193,151,257.6666667,261.3333333,259.5,NA,343.4375,14.3
M1403,6/18/2014,ProOff,9,Thermo,109,193,151,257.6666667,261.3333333,259.5,NA,353.125,13.7
M1404,6/18/2014,ProOff,1,Surface,109,193,151,257.6666667,261.3333333,259.5,NA,369.375,NA
M1405,6/18/2014,100m,8,Deep,109,193,151,257.6666667,261.3333333,259.5,NA,312.8125,13.9
M1406,6/18/2014,100m,1,Surface,109,193,151,257.6666667,261.3333333,259.5,NA,385.3125,15.3
M1407,6/18/2014,ProOff,14,Deep,109,193,151,257.6666667,261.3333333,259.5,NA,190.625,11.1
M1408,7/2/2014,ProOff,1,Surface,204,267,235.5,167.3333333,231.6666667,199.5,NA,340.625,12.8
M1409,7/2/2014,ProOff,14,Deep,204,267,235.5,167.3333333,231.6666667,199.5,NA,293.75,11.5
M1410,7/2/2014,100m,5,Thermo,204,267,235.5,167.3333333,231.6666667,199.5,NA,313.75,11.7
M1411,7/2/2014,100m,9,Deep,204,267,235.5,167.3333333,231.6666667,199.5,NA,289.6875,11.6
M1412,7/2/2014,ProOff,9,Thermo,204,267,235.5,167.3333333,231.6666667,199.5,NA,322.8125,11.7
M1413,7/2/2014,100m,1,Surface,204,267,235.5,167.3333333,231.6666667,199.5,NA,380.3125,12.7
M1414,7/16/2014,100m,1,Surface,50,74,62,109.6666667,221,165.3333333,NA,NA,NA
M1415,7/16/2014,ProOff,14,Deep,50,74,62,109.6666667,221,165.3333333,NA,NA,NA
M1416,7/16/2014,ProOff,9,Thermo,50,74,62,109.6666667,221,165.3333333,NA,NA,NA
M1417,7/16/2014,ProOff,1,Surface,50,74,62,109.6666667,221,165.3333333,NA,NA,NA
M1418,7/16/2014,100m,5,Thermo,50,74,62,109.6666667,221,165.3333333,NA,NA,NA
M1419,7/16/2014,100m,8,Deep,50,74,62,109.6666667,221,165.3333333,NA,NA,NA
M1420,7/30/2014,100m,5,Thermo,104,183,143.5,69.33333333,141.3333333,105.3333333,18.18030485,309.6875,17.7
M1421,7/30/2014,100m,1,Surface,104,183,143.5,69.33333333,141.3333333,105.3333333,24.93971465,350.3125,18.1
M1422,7/30/2014,ProOff,14,Deep,104,183,143.5,69.33333333,141.3333333,105.3333333,9.913651656,257.8125,13.9
M1423,7/30/2014,ProOff,1,Surface,104,183,143.5,69.33333333,141.3333333,105.3333333,25.18770965,327.5,17.9
M1424,7/30/2014,ProOff,7,Thermo,104,183,143.5,69.33333333,141.3333333,105.3333333,16.43514542,262.1875,17.1
M1425,7/30/2014,100m,9,Deep,104,183,143.5,69.33333333,141.3333333,105.3333333,9.784960128,241.875,16.3
M1426,8/10/2014,ProOff,14,Deep,83,115,99,158,273.6666667,215.8333333,-1.743647208,212.8125,12.3
M1427,8/10/2014,100m,1,Surface,83,115,99,158,273.6666667,215.8333333,5.546432592,281.5625,17.6
M1428,8/10/2014,ProOff,5,Thermo,83,115,99,158,273.6666667,215.8333333,4.246160856,244.0625,14.5
M1429,8/10/2014,100m,4,Thermo,83,115,99,158,273.6666667,215.8333333,0.6258912,244.0625,16.7
M1430,8/10/2014,ProOff,1,Surface,83,115,99,158,273.6666667,215.8333333,4.13740296,290.625,17.2
M1431,8/10/2014,100m,8,Deep,83,115,99,158,273.6666667,215.8333333,0.283194216,217.8125,12.6
M1432,8/12/2014,ProOff,10,Thermo,69,27,48,96.33333333,145.6666667,121,11.55984569,235.3125,12.9
M1433,8/12/2014,100m,1,Surface,69,27,48,96.33333333,145.6666667,121,5.380065336,320.3125,15.5
M1434,8/12/2014,100m,9,Deep,69,27,48,96.33333333,145.6666667,121,3.097773576,239.6875,14.4
M1435,8/12/2014,100m,5,Thermo,69,27,48,96.33333333,145.6666667,121,13.07564045,303.125,15.2
M1436,8/12/2014,ProOff,14,Deep,69,27,48,96.33333333,145.6666667,121,11.52013795,237.8125,14
M1437,8/12/2014,ProOff,1,Surface,69,27,48,96.33333333,145.6666667,121,17.43279888,313.4375,15.6
M1438,8/14/2014,ProOff,1,Surface,110,124,117,70.33333333,54,62.16666667,7.717405416,368.4375,16.6
M1439,8/14/2014,100m,8,Deep,110,124,117,70.33333333,54,62.16666667,9.112389288,289.6875,15
M1440,8/14/2014,100m,1,Surface,110,124,117,70.33333333,54,62.16666667,18.90550267,376.875,16.6
M1441,8/14/2014,ProOff,14,Deep,110,124,117,70.33333333,54,62.16666667,5.617312968,280.3125,13.8
M1442,8/26/2014,100m,1,Surface,42,43,42.5,62,109.6666667,85.83333333,10.32597806,334.0625,17.5
M1443,8/26/2014,100m,9,Deep,42,43,42.5,62,109.6666667,85.83333333,11.66007722,266.25,16.2
M1444,8/26/2014,ProOff,1,Surface,42,43,42.5,62,109.6666667,85.83333333,7.389089376,319.375,17.6
M1445,8/26/2014,ProOff,14,Deep,42,43,42.5,62,109.6666667,85.83333333,10.88188075,245.9375,13.6
M1446,8/26/2014,100m,5,Thermo,42,43,42.5,62,109.6666667,85.83333333,11.7436835,303.125,17.3
M1447,8/26/2014,ProOff,7,Thermo,42,43,42.5,62,109.6666667,85.83333333,15.89249256,281.25,16.4
